id;nombre;imagen;URL_imdb
1;Chiwetel Ejiofor;kq5DDnqqofoRI0t6ddtRlsJnNPT.jpg;nm0252230
2;JD McCrary;iOr3HQgtXoG1NeLxCux8fU5XOcQ.jpg;nm6556377
3;James Earl Jones;dpxRFaQ7OoxzF9T8grm1CDU8XZw.jpg;nm0000469
4;Shahadi Wright Joseph;czIRGtcbXty1oZp7GtRi2oMgHkC.jpg;nm8630978
5;John David Washington;27C77ni5XmlgkJVbomXPC4tHWVd.jpg;nm0913475
6;Robert Pattinson;3qZ09UE7lN6AtorfXFRYpEtSY93.jpg;nm1500155
7;Elizabeth Debicki;nXXbGG1vCrHlscwqD55EGI9aHpA.jpg;nm4456120
8;Kenneth Branagh;AbCqqFxNi5w3nDUFdQt0DGMFh5H.jpg;nm0000110
9;Scarlett Johansson;6NsMbJXRlDZuDzatN2akFdGuTvx.jpg;nm0424060
10;Chris Hemsworth;kN7sPp4ObBcGHsgNQNwawNpuIky.jpg;nm1165110
11;Robert Downey Jr.;5qHNjhtjMD4YWH3UP0rm4tKwxCL.jpg;nm0000375
12;Chris Evans;AuC5PNfU0nnhiC9BQlmy9qg9WIc.jpg;nm0262635
13;Mark Ruffalo;5GilHMOt5PAQh6rlUKZzGmaKEI7.jpg;nm0749263
19;Sam Worthington;vM1WIfYQ1HUBtlVPwB9Hp9fLcn8.jpg;nm0941777
20;Zoe Saldana;vQBwmsSOAd0JDaEcZ5p43J9xzsY.jpg;nm0757855
23;Sigourney Weaver;flfhep27iBxseZIlxOMHt6zJFX1.jpg;nm0000244
24;Leonardo DiCaprio;wo2hJpn04vbtmh0B9utCFdsQhxM.jpg;nm0000138
25;Kate Winslet;8QG40cPp31IA94sLllpMGpFe2cA.jpg;nm0000701
26;Daisy Ridley;n8kBnNOi9VmELHJy3FdZjrSN9zT.jpg;nm5397459
27;Adam Driver;fsbGQ1eZFgdsG1XnKlhNSvHsiGo.jpg;nm3485845
33;Chris Pratt;gXKyT1YU5RWWPaE1je3ht58eUZr.jpg;nm0695435
36;Bryce Dallas Howard;qQX1rhQaJ1G8eMG2RknFKiXfNRc.jpg;nm0397171
37;Daniel Radcliffe;k86U9DrYgFh5e5S4UIHTL9InPlC.jpg;nm0705356
38;Emma Watson;mf0OANvWYSzU1d8yggrhyw8IbIz.jpg;nm0914612
39;Rupert Grint;iFlkpTaOF6fGLqxz8b0PhI0i0zN.jpg;nm0342488
40;Alan Rickman;7tADZs4ILE93oJ5pAh6mKQFEq2m.jpg;nm0000614
42;Idina Menzel;l2N0xOzHqZ75bKXBCciKwBdwxcN.jpg;nm0579953
